NºPer.;Desde*;Hasta*;Nombrto/Contrato;Razón de Alta;Plaza;RJ;Cláusula;T.Nombrto;Días;Puesto trabajo;GFH;Dirección;Puesto Sustitutido;Necesidad
00001158;30/06/2026;20260630;TEMPORAL. T. COM. INTER. N. ESTA;VACACIONES Y LIBRANZAS;TÉC ESPECIALISTA / LABORATORIO;E;S_9B_1aV;S9b1a;41;TÉCNICO ESPECIALISTA LABORATORIO;LABORATORIO CENTRAL;DIRECCIÓN DE ENFERMERÍA;TÉCNICO ESPECIALISTA LABORATORIO;0
00001159;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INVALIDEZ PERMANENTE;AUXILIAR DE ENFERMERÍA;E;S_9B_1a;S9b1a;365;AUXILIAR DE ENFERMERÍA;PLANTA 6ª IMPAR - HOSP.EDIF.A;DIRECCIÓN DE ENFERMERÍA;;0
00001160;10/07/2026;20260710;TEMPORAL. T. COMPLETO. N. ESTATU;ACUMULACION DE TAREAS;TÉCNICO/A SUPERIOR GESTION Y SERVICIOS;E;S_9B_1a;S9b1a;61;TÉCNICO SUPERIOR DE GESTIÓN Y SERVICIOS;SEC.INGEN.TELECOMUN.Y TELEMÁTICA;DIRECCIÓN DE INGENIERÍA, INFRAESTRUCTURAS Y TEC.;;0
00001161;31/01/2026;20260131;TEMPORAL. T. COM. INTER. N. ESTA;VACACIONES Y LIBRANZAS;LIMPIADOR/A;E;S_9B_1aV;S9b1a;24;LIMPIADORA;LIMPIEZA;DIRECCIÓN DE SERVICIOS GENERALES;LIMPIADORA;0
00001162;20/06/2026;20260620;TEMPORAL. T. COM. INTER. N. ESTA;MES VENCIDO - INCAPACIDAD TEMPORAL;CELADOR/A;E;S_9B_1a;S9b1a;30;CELADOR;DISTRIBUCIÓN;DIRECCIÓN DE SERVICIOS GENERALES;CELADOR;0
00001163;31/03/2026;20260331;TEMPORAL. T. COMPLETO. N. ESTATU;ACUMULACION DE TAREAS;FEA MEDICINA INTENSIVA;E;I_9_1c;N91c;90;FEA MEDICINA INTENSIVA;P.MÉDICO U.V.I:;DIRECCIÓN MÉDICA;;0
00001164;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;FEA MEDICINA INTENSIVA;E;I_9_1a;N91a;275;FEA MEDICINA INTENSIVA;P.MÉDICO U.V.I:;DIRECCIÓN MÉDICA;;0
00001165;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;G ADMINISTRATIVO FUNCIÓN ADMINISTRATIVA;E;I_9_1a;N91a;365;GRUPO ADMINISTRATIVO;D.RRHH SERV.ADMINISTRACIÓN DE PERSONAL;DIRECCIÓN DE RR.HH.;;0
00001166;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;AUXILIAR DE ENFERMERÍA;E;I_9_1a;N91a;365;AUXILIAR DE ENFERMERÍA;U.V.I.;DIRECCIÓN DE ENFERMERÍA;;0
00001167;15/02/2026;20260215;TEMPORAL. T. COM. INTER. N. ESTA;LIBRE DISPOSICION;AUXILIAR DE ENFERMERÍA;E;S_9B_1aV;S9b1a;46;AUXILIAR DE ENFERMERÍA;HOSPITAL. U.C.S.I.;DIRECCIÓN DE ENFERMERÍA;AUXILIAR DE ENFERMERÍA;0
00001168;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;VACACIONES Y LIBRANZAS;AUXILIAR DE ENFERMERÍA;E;S_9B_1aV;S9b1a;319;AUXILIAR DE ENFERMERÍA;PLANTA 1ª PAR - HOSP.EDIF.A;DIRECCIÓN DE ENFERMERÍA;AUXILIAR DE ENFERMERÍA;0
00001169;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;ENFERMERO/A;E;I_9_1a;N91a;365;ENFERMERA/O;URGENCIAS;DIRECCIÓN DE ENFERMERÍA;;0
00001170;31/01/2026;20260131;TEMPORAL. T. COM. INTER. N. ESTA;LIBRE DISPOSICION;AUXILIAR DE ENFERMERÍA;E;S_9B_1aV;S9b1a;31;AUXILIAR DE ENFERMERÍA;PLANTA 7ª PAR - HOSP.EDIF.A;DIRECCIÓN DE ENFERMERÍA;AUXILIAR DE ENFERMERÍA;0
00001171;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;MES VENCIDO - INCAPACIDAD TEMPORAL;AUXILIAR DE ENFERMERÍA;E;S_9B_1a;S9b1a;260;AUXILIAR DE ENFERMERÍA;SERVICIOS COMUNES DE CONSULTAS;DIRECCIÓN DE ENFERMERÍA;AUXILIAR DE ENFERMERÍA;0
00001172;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;AUXILIAR DE ENFERMERÍA;E;I_9_1a;N91a;365;AUXILIAR DE ENFERMERÍA;PLANTA 7ª PAR - HOSP.EDIF.A;DIRECCIÓN DE ENFERMERÍA;;0
00001173;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INVALIDEZ PERMANENTE;LIMPIADOR/A;E;S_9B_1a;S9b1a;365;LIMPIADORA;LIMPIEZA;DIRECCIÓN DE SERVICIOS GENERALES;LAVANDERIA;0
00001174;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;FEA PSICOLOGÍA CLÍNICA;E;I_9_1a;N91a;365;FEA PSICOLOGÍA CLÍNICA;P.MÉDICO PSIQUIATRÍA;DIRECCIÓN MÉDICA;;0
00001175;31/12/2026;20261231;TEMPORAL. T. COM. INTER. N. ESTA;INTERINO POR VACANTE;LIMPIADOR/A;E;I_9_1a;N91a;365;LIMPIADORA;LIMPIEZA;DIRECCIÓN DE SERVICIOS GENERALES;;0
00001176;31/01/2026;20260131;TEMPORAL. T. COM. INTER. N. ESTA;LIBRE DISPOSICION;AUXILIAR DE ENFERMERÍA;E;S_9B_1aV;S9b1a;31;AUXILIAR DE ENFERMERÍA;UDAD.CORONARIAS;DIRECCIÓN DE ENFERMERÍA;AUXILIAR DE ENFERMERÍA;0
00001177;28/02/2026;20260228;TEMPORAL. T. COMPLETO. N. ESTATU;ACUMULACION DE TAREAS;AUXILIAR DE ENFERMERÍA;E;I_9_1c;N91c;28;AUXILIAR DE ENFERMERÍA;PLANTILLA VOLANTE;DIRECCIÓN DE ENFERMERÍA;;0
